PeriodEnd,PeriodStart,Period,AirTemp,Ghi,WindSpeed10m
2020-09-30T00:20:00Z,2020-09-30T00:10:00Z,PT10M,10.8,0,0.6
2020-09-30T00:30:00Z,2020-09-30T00:20:00Z,PT10M,10.8,0,0.5
2020-09-30T00:40:00Z,2020-09-30T00:30:00Z,PT10M,10.8,0,0.5
2020-09-30T00:50:00Z,2020-09-30T00:40:00Z,PT10M,10.8,0,0.5
2020-09-30T01:00:00Z,2020-09-30T00:50:00Z,PT10M,10.8,0,0.5
2020-09-30T01:10:00Z,2020-09-30T01:00:00Z,PT10M,10.8,0,0.5
2020-09-30T01:20:00Z,2020-09-30T01:10:00Z,PT10M,10.8,0,0.4
2020-09-30T01:30:00Z,2020-09-30T01:20:00Z,PT10M,10.9,0,0.4
2020-09-30T01:40:00Z,2020-09-30T01:30:00Z,PT10M,10.9,0,0.4
2020-09-30T01:50:00Z,2020-09-30T01:40:00Z,PT10M,10.9,0,0.4
2020-09-30T02:00:00Z,2020-09-30T01:50:00Z,PT10M,10.9,0,0.4
2020-09-30T02:10:00Z,2020-09-30T02:00:00Z,PT10M,10.9,0,0.4
2020-09-30T02:20:00Z,2020-09-30T02:10:00Z,PT10M,10.9,0,0.4
2020-09-30T02:30:00Z,2020-09-30T02:20:00Z,PT10M,10.9,0,0.5
2020-09-30T02:40:00Z,2020-09-30T02:30:00Z,PT10M,10.9,0,0.5
2020-09-30T02:50:00Z,2020-09-30T02:40:00Z,PT10M,11.0,0,0.6
2020-09-30T03:00:00Z,2020-09-30T02:50:00Z,PT10M,11.0,0,0.6
2020-09-30T03:10:00Z,2020-09-30T03:00:00Z,PT10M,11.0,0,0.7
2020-09-30T03:20:00Z,2020-09-30T03:10:00Z,PT10M,11.0,0,0.7
2020-09-30T03:30:00Z,2020-09-30T03:20:00Z,PT10M,11.0,0,0.7
2020-09-30T03:40:00Z,2020-09-30T03:30:00Z,PT10M,11.0,0,0.8
2020-09-30T03:50:00Z,2020-09-30T03:40:00Z,PT10M,11.0,0,0.8
2020-09-30T04:00:00Z,2020-09-30T03:50:00Z,PT10M,11.0,0,0.8
2020-09-30T04:10:00Z,2020-09-30T04:00:00Z,PT10M,10.9,0,0.9
2020-09-30T04:20:00Z,2020-09-30T04:10:00Z,PT10M,10.9,0,0.9
2020-09-30T04:30:00Z,2020-09-30T04:20:00Z,PT10M,10.8,0,0.9
2020-09-30T04:40:00Z,2020-09-30T04:30:00Z,PT10M,10.7,0,0.9
2020-09-30T04:50:00Z,2020-09-30T04:40:00Z,PT10M,10.7,0,0.9
2020-09-30T05:00:00Z,2020-09-30T04:50:00Z,PT10M,10.6,0,0.9
2020-09-30T05:10:00Z,2020-09-30T05:00:00Z,PT10M,10.6,0,0.9
2020-09-30T05:20:00Z,2020-09-30T05:10:00Z,PT10M,10.7,0,0.9
2020-09-30T05:30:00Z,2020-09-30T05:20:00Z,PT10M,10.8,1,0.9
2020-09-30T05:40:00Z,2020-09-30T05:30:00Z,PT10M,10.9,2,0.9
2020-09-30T05:50:00Z,2020-09-30T05:40:00Z,PT10M,11.0,7,0.9
2020-09-30T06:00:00Z,2020-09-30T05:50:00Z,PT10M,11.1,11,0.9
2020-09-30T06:10:00Z,2020-09-30T06:00:00Z,PT10M,11.1,16,0.9
2020-09-30T06:20:00Z,2020-09-30T06:10:00Z,PT10M,11.2,22,1.0
2020-09-30T06:30:00Z,2020-09-30T06:20:00Z,PT10M,11.2,30,1.0
2020-09-30T06:40:00Z,2020-09-30T06:30:00Z,PT10M,11.3,36,1.1
2020-09-30T06:50:00Z,2020-09-30T06:40:00Z,PT10M,11.3,37,1.2
2020-09-30T07:00:00Z,2020-09-30T06:50:00Z,PT10M,11.4,41,1.3
2020-09-30T07:10:00Z,2020-09-30T07:00:00Z,PT10M,11.4,46,1.3
