date,time,value
2021-03-04,07:43:06,158939.25
2021-03-04,07:43:29,158941.265625
2021-03-04,07:43:49,158943.140625
2021-03-04,07:44:13,158945.265625
2021-03-04,07:44:35,158947.375
2021-03-04,07:44:57,158949.453125
2021-03-04,07:45:20,158951.546875
2021-03-04,07:45:41,158953.515625
2021-03-04,07:46:03,158955.578125
2021-03-04,07:46:23,158957.484375
2021-03-04,07:46:44,158959.453125
2021-03-04,07:47:06,158961.4375
2021-03-04,07:47:28,158963.546875
2021-03-04,07:47:50,158965.546875
2021-03-04,07:48:09,158967.390625
2021-03-04,07:48:32,158969.5
2021-03-04,07:48:53,158971.453125
2021-03-04,07:49:13,158973.46875
2021-03-04,07:49:36,158975.578125
2021-03-04,07:49:56,158977.515625
2021-03-04,07:50:17,158979.46875
2021-03-04,07:50:39,158981.53125
2021-03-04,07:51:01,158983.59375
2021-03-04,07:51:23,158985.765625
2021-03-04,07:51:44,158987.734375
2021-03-04,07:52:06,158989.859375
2021-03-04,07:52:28,158991.984375
2021-03-04,07:52:48,158993.90625
2021-03-04,07:53:11,158996.15625
2021-03-04,07:53:32,158998.25
2021-03-04,07:53:53,159000.328125
2021-03-04,07:54:14,159002.390625
2021-03-04,07:54:36,159004.421875
2021-03-04,07:54:58,159006.59375
2021-03-04,07:55:18,159008.546875
2021-03-04,07:55:40,159010.609375
2021-03-04,07:56:01,159012.71875
2021-03-04,07:56:23,159014.765625
2021-03-04,07:56:44,159016.828125
2021-03-04,07:57:04,159018.796875
2021-03-04,07:57:24,159020.8125
2021-03-04,07:57:45,159023.046875
2021-03-04,07:58:07,159025.375
2021-03-04,07:58:29,159027.71875
2021-03-04,07:58:49,159029.84375
2021-03-04,07:59:09,159031.984375
2021-03-04,07:59:32,159034.5
2021-03-04,07:59:53,159036.75
2021-03-04,08:00:14,159039
2021-03-04,08:00:34,159041.265625
2021-03-04,08:00:55,159043.5
2021-03-04,08:01:16,159045.703125
2021-03-04,08:01:38,159048.140625
2021-03-04,08:02:00,159050.53125
2021-03-04,08:02:21,159052.765625
2021-03-04,08:02:41,159054.984375
2021-03-04,08:03:04,159057.4375
2021-03-04,08:03:25,159059.734375
2021-03-04,08:03:47,159061.96875
2021-03-04,08:04:08,159064.203125
2021-03-04,08:04:29,159066.515625
2021-03-04,08:04:50,159068.734375
2021-03-04,08:05:10,159070.875
2021-03-04,08:05:32,159073.1875
2021-03-04,08:05:52,159075.46875
2021-03-04,08:06:14,159077.71875
2021-03-04,08:06:36,159080.09375
2021-03-04,08:06:58,159082.484375
2021-03-04,08:07:20,159084.78125
2021-03-04,08:07:41,159087.078125
2021-03-04,08:08:03,159089.296875
2021-03-04,08:08:25,159091.453125
2021-03-04,08:08:46,159093.5625
2021-03-04,08:09:08,159095.6875
2021-03-04,08:09:30,159097.828125
2021-03-04,08:09:51,159099.9375
2021-03-04,08:10:12,159102
2021-03-04,08:10:34,159104.1875
2021-03-04,08:10:54,159106.171875
2021-03-04,08:11:15,159108.21875
2021-03-04,08:11:36,159110.359375
2021-03-04,08:11:57,159112.515625
2021-03-04,08:12:20,159114.75
2021-03-04,08:12:41,159116.8125
2021-03-04,08:13:03,159118.9375
2021-03-04,08:13:25,159121.15625
2021-03-04,08:13:47,159123.296875
2021-03-04,08:14:09,159125.46875
2021-03-04,08:14:30,159127.53125
2021-03-04,08:14:52,159129.703125
2021-03-04,08:15:11,159131.640625
2021-03-04,08:15:33,159133.765625
2021-03-04,08:15:54,159135.875
2021-03-04,08:16:15,159137.96875
2021-03-04,08:16:37,159140.15625
2021-03-04,08:16:58,159142.3125
2021-03-04,08:17:19,159144.34375
2021-03-04,08:17:40,159146.46875
2021-03-04,08:18:03,159148.65625
2021-03-04,08:18:24,159150.734375
2021-03-04,08:18:45,159152.84375
