date,time,value
2021-02-26,13:17:12,910436.3125
2021-02-26,13:17:36,910436.4375
2021-02-26,13:17:59,910436.5625
2021-02-26,13:18:22,910436.625
2021-02-26,13:18:47,910436.6875
2021-02-26,13:19:10,910436.8125
2021-02-26,13:19:33,910436.9375
2021-02-26,13:19:54,910437.0625
2021-02-26,13:20:16,910437.125
2021-02-26,13:20:41,910437.25
2021-02-26,13:21:04,910437.3125
2021-02-26,13:21:28,910437.4375
2021-02-26,13:21:51,910437.5625
2021-02-26,13:22:15,910437.6875
2021-02-26,13:22:39,910437.75
2021-02-26,13:23:02,910437.8125
2021-02-26,13:23:25,910437.9375
2021-02-26,13:23:47,910438.0625
2021-02-26,13:24:06,910438.1875
2021-02-26,13:24:32,910438.25
2021-02-26,13:24:58,910438.375
2021-02-26,13:25:25,910438.4375
2021-02-26,13:25:51,910438.5625
2021-02-26,13:26:18,910438.6875
2021-02-26,13:26:44,910438.8125
2021-02-26,13:27:11,910438.875
2021-02-26,13:27:37,910438.9375
2021-02-26,13:28:04,910439.0625
2021-02-26,13:28:30,910439.1875
2021-02-26,13:28:58,910439.3125
2021-02-26,13:29:26,910439.375
2021-02-26,13:29:57,910439.5
2021-02-26,13:30:26,910439.5625
2021-02-26,13:30:55,910439.6875
2021-02-26,13:31:20,910439.8125
2021-02-26,13:31:46,910439.9375
2021-02-26,13:32:13,910440
2021-02-26,13:32:37,910440.0625
2021-02-26,13:33:02,910440.1875
2021-02-26,13:33:26,910440.3125
2021-02-26,13:33:51,910440.4375
2021-02-26,13:34:16,910440.5
2021-02-26,13:34:41,910440.625
2021-02-26,13:35:05,910440.6875
2021-02-26,13:35:30,910440.8125
2021-02-26,13:35:55,910440.9375
2021-02-26,13:36:19,910441.0625
2021-02-26,13:36:41,910441.125
2021-02-26,13:37:06,910441.1875
2021-02-26,13:37:32,910441.3125
2021-02-26,13:37:57,910441.4375
2021-02-26,13:38:22,910441.5625
2021-02-26,13:38:47,910441.625
2021-02-26,13:39:09,910441.75
2021-02-26,13:39:31,910441.8125
2021-02-26,13:39:55,910441.9375
2021-02-26,13:40:18,910442.0625
2021-02-26,13:40:41,910442.1875
2021-02-26,13:41:04,910442.25
2021-02-26,13:41:27,910442.3125
2021-02-26,13:41:50,910442.4375
2021-02-26,13:42:12,910442.5625
2021-02-26,13:42:35,910442.6875
2021-02-26,13:42:58,910442.75
2021-02-26,13:43:21,910442.875
2021-02-26,13:43:45,910442.9375
2021-02-26,13:44:06,910443.0625
2021-02-26,13:44:28,910443.1875
2021-02-26,13:44:51,910443.3125
2021-02-26,13:45:14,910443.375
2021-02-26,13:45:38,910443.4375
2021-02-26,13:46:02,910443.5625
2021-02-26,13:46:26,910443.6875
2021-02-26,13:46:50,910443.8125
2021-02-26,13:47:14,910443.9375
2021-02-26,13:47:39,910444
2021-02-26,13:48:04,910444.0625
2021-02-26,13:48:29,910444.1875
2021-02-26,13:48:53,910444.3125
2021-02-26,13:49:17,910444.4375
2021-02-26,13:49:39,910444.5
2021-02-26,13:50:00,910444.5625
2021-02-26,13:50:21,910444.6875
2021-02-26,13:50:37,910444.8125
2021-02-26,13:50:59,910444.9375
2021-02-26,13:51:21,910445.0625
2021-02-26,13:51:47,910445.125
2021-02-26,13:52:14,910445.1875
2021-02-26,13:52:38,910445.3125
2021-02-26,13:53:02,910445.4375
2021-02-26,13:53:22,910445.5625
2021-02-26,13:53:43,910445.625
2021-02-26,13:54:04,910445.6875
2021-02-26,13:54:27,910445.8125
2021-02-26,13:54:49,910445.9375
2021-02-26,13:55:13,910446.0625
2021-02-26,13:55:36,910446.1875
2021-02-26,13:55:59,910446.25
2021-02-26,13:56:22,910446.3125
2021-02-26,13:56:44,910446.4375
2021-02-26,13:57:04,910446.5625
2021-02-26,13:57:27,910446.6875
2021-02-26,13:57:51,910446.75
2021-02-26,13:58:15,910446.875
2021-02-26,13:58:40,910446.9375
2021-02-26,13:59:07,910447.0625
2021-02-26,13:59:39,910447.1875
2021-02-26,14:00:12,910447.3125
2021-02-26,14:00:40,910447.375
2021-02-26,14:01:07,910447.4375
2021-02-26,14:01:34,910447.5625
2021-02-26,14:02:05,910447.6875
2021-02-26,14:02:38,910447.8125
2021-02-26,14:03:09,910447.875
2021-02-26,14:03:36,910448
2021-02-26,14:04:00,910448.0625
2021-02-26,14:04:25,910448.1875
2021-02-26,14:04:55,910448.3125
2021-02-26,14:05:27,910448.4375
2021-02-26,14:05:59,910448.5
2021-02-26,14:06:26,910448.5625
2021-02-26,14:06:53,910448.6875
2021-02-26,14:07:25,910448.8125
2021-02-26,14:07:58,910448.9375
2021-02-26,14:08:31,910449
2021-02-26,14:08:53,910449.125
2021-02-26,14:09:18,910449.1875
2021-02-26,14:09:43,910449.3125
2021-02-26,14:10:08,910449.4375
2021-02-26,14:10:34,910449.5625
2021-02-26,14:11:01,910449.625
2021-02-26,14:11:27,910449.6875
2021-02-26,14:11:51,910449.8125
2021-02-26,14:12:15,910449.9375
2021-02-26,14:12:36,910450.0625
2021-02-26,14:12:59,910450.125
2021-02-26,14:13:26,910450.25
2021-02-26,14:13:57,910450.3125
2021-02-26,14:14:28,910450.4375
2021-02-26,14:14:58,910450.5625
2021-02-26,14:15:28,910450.6875
2021-02-26,14:15:59,910450.75
2021-02-26,14:16:23,910450.8125
2021-02-26,14:16:54,910450.9375
2021-02-26,14:17:23,910451.0625
2021-02-26,14:17:54,910451.1875
2021-02-26,14:18:25,910451.25
2021-02-26,14:18:57,910451.375
2021-02-26,14:19:29,910451.4375
2021-02-26,14:20:02,910451.5625
2021-02-26,14:20:34,910451.6875
2021-02-26,14:21:05,910451.8125
2021-02-26,14:21:34,910451.875
2021-02-26,14:22:03,910451.9375
2021-02-26,14:22:36,910452.0625
2021-02-26,14:23:10,910452.1875
2021-02-26,14:23:43,910452.3125
2021-02-26,14:24:17,910452.375
2021-02-26,14:24:50,910452.5
2021-02-26,14:25:24,910452.5625
2021-02-26,14:25:57,910452.6875
2021-02-26,14:26:31,910452.8125
2021-02-26,14:27:05,910452.9375
2021-02-26,14:27:38,910453
2021-02-26,14:28:11,910453.0625
2021-02-26,14:28:44,910453.1875
2021-02-26,14:29:16,910453.3125
2021-02-26,14:29:47,910453.4375
2021-02-26,14:30:20,910453.5625
2021-02-26,14:30:53,910453.625
2021-02-26,14:31:26,910453.6875
2021-02-26,14:31:54,910453.8125
2021-02-26,14:32:23,910453.9375
2021-02-26,14:32:54,910454.0625
2021-02-26,14:33:26,910454.125
2021-02-26,14:33:59,910454.1875
2021-02-26,14:34:32,910454.3125
2021-02-26,14:35:04,910454.4375
2021-02-26,14:35:37,910454.5625
2021-02-26,14:36:10,910454.6875
2021-02-26,14:36:43,910454.75
2021-02-26,14:37:15,910454.8125
2021-02-26,14:37:48,910454.9375
2021-02-26,14:38:20,910455.0625
2021-02-26,14:38:52,910455.1875
2021-02-26,14:39:24,910455.25
2021-02-26,14:39:56,910455.375
2021-02-26,14:40:26,910455.4375
2021-02-26,14:40:54,910455.5625
2021-02-26,14:41:16,910455.6875
2021-02-26,14:41:46,910455.8125
2021-02-26,14:42:17,910455.875
2021-02-26,14:42:42,910455.9375
2021-02-26,14:43:10,910456.0625
2021-02-26,14:43:40,910456.1875
2021-02-26,14:44:07,910456.3125
2021-02-26,14:44:35,910456.375
2021-02-26,14:45:03,910456.5
2021-02-26,14:45:35,910456.5625
2021-02-26,14:46:03,910456.6875
2021-02-26,14:46:34,910456.8125
2021-02-26,14:47:04,910456.9375
2021-02-26,14:47:34,910457
2021-02-26,14:48:04,910457.0625
2021-02-26,14:48:35,910457.1875
2021-02-26,14:49:06,910457.3125
2021-02-26,14:49:32,910457.4375
2021-02-26,14:50:04,910457.5
2021-02-26,14:50:37,910457.625
2021-02-26,14:51:10,910457.6875
2021-02-26,14:51:42,910457.8125
2021-02-26,14:52:15,910457.9375
2021-02-26,14:52:48,910458.0625
2021-02-26,14:53:21,910458.125
2021-02-26,14:53:55,910458.1875
2021-02-26,14:54:27,910458.3125
2021-02-26,14:54:56,910458.4375
2021-02-26,14:55:25,910458.5625
2021-02-26,14:55:56,910458.625
2021-02-26,14:56:26,910458.75
2021-02-26,14:56:54,910458.8125
2021-02-26,14:57:24,910458.9375
2021-02-26,14:57:53,910459.0625
2021-02-26,14:58:22,910459.1875
2021-02-26,14:58:51,910459.25
2021-02-26,14:59:19,910459.3125
2021-02-26,14:59:48,910459.4375
2021-02-26,15:00:16,910459.5625
2021-02-26,15:00:47,910459.6875
2021-02-26,15:01:17,910459.75
2021-02-26,15:01:49,910459.875
2021-02-26,15:02:18,910459.9375
2021-02-26,15:02:49,910460.0625
2021-02-26,15:03:21,910460.1875
2021-02-26,15:03:53,910460.3125
2021-02-26,15:04:21,910460.375
2021-02-26,15:04:50,910460.4375
2021-02-26,15:05:18,910460.5625
2021-02-26,15:05:47,910460.6875
2021-02-26,15:06:13,910460.8125
2021-02-26,15:06:39,910460.875
2021-02-26,15:07:10,910461
2021-02-26,15:07:39,910461.0625
2021-02-26,15:08:08,910461.1875
2021-02-26,15:08:39,910461.3125
2021-02-26,15:09:10,910461.4375
2021-02-26,15:09:41,910461.5
2021-02-26,15:10:11,910461.5625
2021-02-26,15:10:39,910461.6875
2021-02-26,15:11:07,910461.8125
2021-02-26,15:11:37,910461.9375
2021-02-26,15:12:07,910462.0625
2021-02-26,15:12:39,910462.125
2021-02-26,15:13:11,910462.1875
2021-02-26,15:13:41,910462.3125
2021-02-26,15:14:12,910462.4375
2021-02-26,15:14:43,910462.5625
2021-02-26,15:15:15,910462.625
2021-02-26,15:15:45,910462.6875
2021-02-26,15:16:16,910462.8125
2021-02-26,15:16:43,910462.9375
2021-02-26,15:17:09,910463.0625
2021-02-26,15:17:36,910463.1875
2021-02-26,15:18:07,910463.25
2021-02-26,15:18:30,910463.3125
2021-02-26,15:18:59,910463.4375
2021-02-26,15:19:26,910463.5625
2021-02-26,15:19:53,910463.6875
2021-02-26,15:20:20,910463.75
2021-02-26,15:20:50,910463.8125
2021-02-26,15:21:16,910463.9375
2021-02-26,15:21:46,910464.0625
2021-02-26,15:22:13,910464.1875
2021-02-26,15:22:40,910464.3125
2021-02-26,15:23:09,910464.375
2021-02-26,15:23:32,910464.4375
2021-02-26,15:24:01,910464.5625
2021-02-26,15:24:30,910464.6875
2021-02-26,15:24:59,910464.8125
2021-02-26,15:25:26,910464.875
2021-02-26,15:25:54,910465
2021-02-26,15:26:22,910465.0625
2021-02-26,15:26:48,910465.1875
2021-02-26,15:27:15,910465.3125
2021-02-26,15:27:35,910465.4375
2021-02-26,15:28:03,910465.5
2021-02-26,15:28:31,910465.5625
2021-02-26,15:28:59,910465.6875
2021-02-26,15:29:21,910465.8125
2021-02-26,15:29:46,910465.9375
2021-02-26,15:30:07,910466
2021-02-26,15:30:29,910466.125
2021-02-26,15:30:51,910466.1875
2021-02-26,15:31:15,910466.3125
2021-02-26,15:31:37,910466.4375
2021-02-26,15:32:04,910466.5625
2021-02-26,15:32:29,910466.625
2021-02-26,15:32:55,910466.6875
2021-02-26,15:33:20,910466.8125
2021-02-26,15:33:48,910466.9375
2021-02-26,15:34:13,910467.0625
2021-02-26,15:34:40,910467.125
2021-02-26,15:35:06,910467.25
2021-02-26,15:35:31,910467.3125
2021-02-26,15:35:59,910467.4375
2021-02-26,15:36:26,910467.5625
2021-02-26,15:36:53,910467.6875
2021-02-26,15:37:20,910467.75
2021-02-26,15:37:47,910467.8125
2021-02-26,15:38:14,910467.9375
2021-02-26,15:38:41,910468.0625
2021-02-26,15:39:08,910468.1875
2021-02-26,15:39:36,910468.25
2021-02-26,15:40:03,910468.375
2021-02-26,15:40:30,910468.4375
2021-02-26,15:40:58,910468.5625
2021-02-26,15:41:26,910468.6875
2021-02-26,15:41:53,910468.8125
2021-02-26,15:42:21,910468.875
2021-02-26,15:42:50,910468.9375
2021-02-26,15:43:21,910469.0625
2021-02-26,15:43:47,910469.1875
2021-02-26,15:44:12,910469.3125
2021-02-26,15:44:38,910469.375
2021-02-26,15:45:05,910469.5
2021-02-26,15:45:29,910469.5625
2021-02-26,15:45:54,910469.6875
2021-02-26,15:46:20,910469.8125
2021-02-26,15:46:44,910469.9375
2021-02-26,15:47:06,910470
2021-02-26,15:47:26,910470.0625
2021-02-26,15:47:47,910470.1875
2021-02-26,15:48:08,910470.3125
2021-02-26,15:48:29,910470.4375
2021-02-26,15:48:50,910470.5
2021-02-26,15:49:11,910470.625
2021-02-26,15:49:32,910470.6875
2021-02-26,15:49:53,910470.8125
2021-02-26,15:50:14,910470.9375
2021-02-26,15:50:36,910471.0625
2021-02-26,15:50:57,910471.125
2021-02-26,15:51:17,910471.1875
2021-02-26,15:51:38,910471.3125
