,i,type,prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.0,0.0,0.2031106782149673,-115.0625,-109.3125,-114.078125,-113.25,-114.25,-23.765625,-25.859375,-52.1875,-19.9375,-28.078125,-26.234375,-4.21875,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5
1,0.0,1.0,0.2677610061827265,7.5296875,8.86875,9.353125,9.3515625,7.390625,11.9828125,8.7765625,8.4171875,10.315625,12.890625,8.5375,11.91875,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8
2,0.0,2.0,0.5291283156023061,55.921875,52.78125,58.609375,61.5,59.46875,52.84375,55.890625,66.6875,63.6875,61.828125,60.765625,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125
3,1.0,0.0,0.2008679196554227,-109.3125,-114.078125,-113.25,-114.25,-23.765625,-25.859375,-52.1875,-19.9375,-28.078125,-26.234375,-4.21875,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875
4,1.0,1.0,0.24679462977045183,8.86875,9.353125,9.3515625,7.390625,11.9828125,8.7765625,8.4171875,10.315625,12.890625,8.5375,11.91875,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625
5,1.0,2.0,0.5523374505741254,52.78125,58.609375,61.5,59.46875,52.84375,55.890625,66.6875,63.6875,61.828125,60.765625,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125
6,2.0,0.0,0.19837129675093548,-114.078125,-113.25,-114.25,-23.765625,-25.859375,-52.1875,-19.9375,-28.078125,-26.234375,-4.21875,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125
7,2.0,1.0,0.23332198890407524,9.353125,9.3515625,7.390625,11.9828125,8.7765625,8.4171875,10.315625,12.890625,8.5375,11.91875,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125
8,2.0,2.0,0.5683067143449894,58.609375,61.5,59.46875,52.84375,55.890625,66.6875,63.6875,61.828125,60.765625,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875
9,3.0,0.0,0.19174929191807588,-113.25,-114.25,-23.765625,-25.859375,-52.1875,-19.9375,-28.078125,-26.234375,-4.21875,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875
10,3.0,1.0,0.2261685014089067,9.3515625,7.390625,11.9828125,8.7765625,8.4171875,10.315625,12.890625,8.5375,11.91875,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625
11,3.0,2.0,0.5820822066730175,61.5,59.46875,52.84375,55.890625,66.6875,63.6875,61.828125,60.765625,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375
12,4.0,0.0,0.18526699284999387,-114.25,-23.765625,-25.859375,-52.1875,-19.9375,-28.078125,-26.234375,-4.21875,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375
13,4.0,1.0,0.22327300895600619,7.390625,11.9828125,8.7765625,8.4171875,10.315625,12.890625,8.5375,11.91875,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375
14,4.0,2.0,0.591459998194,59.46875,52.84375,55.890625,66.6875,63.6875,61.828125,60.765625,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625
15,5.0,0.0,0.17907364538104598,-23.765625,-25.859375,-52.1875,-19.9375,-28.078125,-26.234375,-4.21875,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375,-154.140625
16,5.0,1.0,0.2192479430279423,11.9828125,8.7765625,8.4171875,10.315625,12.890625,8.5375,11.91875,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375,-35.3828125
17,5.0,2.0,0.6016784115910118,52.84375,55.890625,66.6875,63.6875,61.828125,60.765625,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625,32.15625
18,6.0,0.0,0.1721937813074628,-25.859375,-52.1875,-19.9375,-28.078125,-26.234375,-4.21875,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375,-154.140625,-153.71875
