,i,type,prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.0,0.0,0.8592407860547846,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7992456555438014,0.0
1,0.0,1.0,0.09482984829868525,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.676726497696562,7.476726497696562
2,0.0,2.0,0.045929365646530114,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.75,15.0,17.307137494154,25.557137494154
3,1.0,0.0,0.8592407860547846,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7992456555438014,0.0
4,1.0,1.0,0.09482984829868525,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.676726497696562,7.476726497696562
5,1.0,2.0,0.045929365646530114,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.75,15.0,17.307137494154,25.557137494154
6,2.0,0.0,0.4097576440281706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.747043726220037,0.0,0.0,-14.543955804724613,-7.940883214795736,-9.440883214795736,-36.74500110981812,-17.62000110981812
7,2.0,1.0,0.3858615379214971,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.7248848820246203,7.13113488202462,10.599884882024622,2.7589433580046436,9.433943358004644,17.06519335800464,-1.7088505910983507,5.903649408901649
8,2.0,2.0,0.2043808180503324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.75,15.0,22.02482035849944,30.27482035849944,36.0,16.48109218906049,34.618214570528146,59.36821457052815,23.048417099103137,30.548417099103137
9,3.0,0.0,0.4097576440281706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.747043726220037,0.0,0.0,-14.543955804724613,-7.940883214795736,-9.440883214795736,-36.74500110981812,-17.62000110981812
10,3.0,1.0,0.3858615379214971,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.88125,2.4375,2.7248848820246203,7.13113488202462,10.599884882024622,2.7589433580046436,9.433943358004644,17.06519335800464,-1.7088505910983507,5.903649408901649
11,3.0,2.0,0.2043808180503324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.75,15.0,22.02482035849944,30.27482035849944,36.0,16.48109218906049,34.618214570528146,59.36821457052815,23.048417099103137,30.548417099103137
