,time,price
0,2021-03-18 00:00:00+00:00,403.73
1,2021-03-18 01:00:00+00:00,399.28
2,2021-03-18 02:00:00+00:00,398.57
3,2021-03-18 03:00:00+00:00,399.07
4,2021-03-18 04:00:00+00:00,402.41
5,2021-03-18 05:00:00+00:00,421.33
6,2021-03-18 06:00:00+00:00,442.08
7,2021-03-18 07:00:00+00:00,534.97
8,2021-03-18 08:00:00+00:00,769.71
9,2021-03-18 09:00:00+00:00,517.66
10,2021-03-18 10:00:00+00:00,493.78
11,2021-03-18 11:00:00+00:00,454.73
12,2021-03-18 12:00:00+00:00,453.41
13,2021-03-18 13:00:00+00:00,445.82
14,2021-03-18 14:00:00+00:00,438.03
15,2021-03-18 15:00:00+00:00,433.68
16,2021-03-18 16:00:00+00:00,440.26
17,2021-03-18 17:00:00+00:00,449.06
18,2021-03-18 18:00:00+00:00,454.02
19,2021-03-18 19:00:00+00:00,454.62
20,2021-03-18 20:00:00+00:00,436.31
21,2021-03-18 21:00:00+00:00,428.11
22,2021-03-18 22:00:00+00:00,417.79
23,2021-03-18 23:00:00+00:00,403.12
0,2021-03-19 00:00:00+00:00,412.15
1,2021-03-19 01:00:00+00:00,405.8
2,2021-03-19 02:00:00+00:00,405.1
3,2021-03-19 03:00:00+00:00,405.8
4,2021-03-19 04:00:00+00:00,414.57
5,2021-03-19 05:00:00+00:00,428.48
6,2021-03-19 06:00:00+00:00,439.26
7,2021-03-19 07:00:00+00:00,447.83
8,2021-03-19 08:00:00+00:00,454.69
9,2021-03-19 09:00:00+00:00,447.03
10,2021-03-19 10:00:00+00:00,442.79
11,2021-03-19 11:00:00+00:00,437.25
12,2021-03-19 12:00:00+00:00,433.52
13,2021-03-19 13:00:00+00:00,425.76
14,2021-03-19 14:00:00+00:00,422.43
15,2021-03-19 15:00:00+00:00,426.06
16,2021-03-19 16:00:00+00:00,430.9
17,2021-03-19 17:00:00+00:00,432.51
18,2021-03-19 18:00:00+00:00,436.04
19,2021-03-19 19:00:00+00:00,438.16
20,2021-03-19 20:00:00+00:00,433.22
21,2021-03-19 21:00:00+00:00,432.61
22,2021-03-19 22:00:00+00:00,419.71
23,2021-03-19 23:00:00+00:00,409.93
0,2021-03-20 00:00:00+00:00,408.6
1,2021-03-20 01:00:00+00:00,406.56
2,2021-03-20 02:00:00+00:00,401.28
3,2021-03-20 03:00:00+00:00,397.32
4,2021-03-20 04:00:00+00:00,395.6
5,2021-03-20 05:00:00+00:00,395.6
6,2021-03-20 06:00:00+00:00,396.1
7,2021-03-20 07:00:00+00:00,403.11
8,2021-03-20 08:00:00+00:00,406.56
9,2021-03-20 09:00:00+00:00,408.8
10,2021-03-20 10:00:00+00:00,408.09
11,2021-03-20 11:00:00+00:00,405.24
12,2021-03-20 12:00:00+00:00,400.78
13,2021-03-20 13:00:00+00:00,390.21
14,2021-03-20 14:00:00+00:00,379.85
15,2021-03-20 15:00:00+00:00,375.79
16,2021-03-20 16:00:00+00:00,374.06
17,2021-03-20 17:00:00+00:00,368.48
18,2021-03-20 18:00:00+00:00,376.7
19,2021-03-20 19:00:00+00:00,368.07
20,2021-03-20 20:00:00+00:00,353.75
21,2021-03-20 21:00:00+00:00,345.22
22,2021-03-20 22:00:00+00:00,344.41
23,2021-03-20 23:00:00+00:00,334.45
0,2021-03-21 00:00:00+00:00,351.27
1,2021-03-21 01:00:00+00:00,352.19
2,2021-03-21 02:00:00+00:00,350.45
3,2021-03-21 03:00:00+00:00,349.94
4,2021-03-21 04:00:00+00:00,352.7
5,2021-03-21 05:00:00+00:00,354.63
6,2021-03-21 06:00:00+00:00,360.14
7,2021-03-21 07:00:00+00:00,361.26
8,2021-03-21 08:00:00+00:00,363.2
9,2021-03-21 09:00:00+00:00,365.14
10,2021-03-21 10:00:00+00:00,367.69
11,2021-03-21 11:00:00+00:00,366.16
12,2021-03-21 12:00:00+00:00,364.02
13,2021-03-21 13:00:00+00:00,361.87
14,2021-03-21 14:00:00+00:00,361.67
15,2021-03-21 15:00:00+00:00,371.36
16,2021-03-21 16:00:00+00:00,379.11
17,2021-03-21 17:00:00+00:00,391.95
18,2021-03-21 18:00:00+00:00,404.5
19,2021-03-21 19:00:00+00:00,413.06
20,2021-03-21 20:00:00+00:00,411.53
21,2021-03-21 21:00:00+00:00,410.0
22,2021-03-21 22:00:00+00:00,407.66
23,2021-03-21 23:00:00+00:00,402.25
0,2021-03-22 00:00:00+00:00,402.05
1,2021-03-22 01:00:00+00:00,400.42
2,2021-03-22 02:00:00+00:00,400.62
3,2021-03-22 03:00:00+00:00,401.54
4,2021-03-22 04:00:00+00:00,403.68
5,2021-03-22 05:00:00+00:00,410.82
6,2021-03-22 06:00:00+00:00,438.76
7,2021-03-22 07:00:00+00:00,507.58
8,2021-03-22 08:00:00+00:00,571.72
9,2021-03-22 09:00:00+00:00,464.25
10,2021-03-22 10:00:00+00:00,451.91
11,2021-03-22 11:00:00+00:00,438.96
12,2021-03-22 12:00:00+00:00,435.08
13,2021-03-22 13:00:00+00:00,428.56
14,2021-03-22 14:00:00+00:00,425.5
15,2021-03-22 15:00:00+00:00,426.93
16,2021-03-22 16:00:00+00:00,432.94
17,2021-03-22 17:00:00+00:00,438.76
18,2021-03-22 18:00:00+00:00,450.58
19,2021-03-22 19:00:00+00:00,453.23
20,2021-03-22 20:00:00+00:00,424.68
21,2021-03-22 21:00:00+00:00,424.17
22,2021-03-22 22:00:00+00:00,408.47
23,2021-03-22 23:00:00+00:00,399.29
0,2021-03-23 00:00:00+00:00,400.0
1,2021-03-23 01:00:00+00:00,399.39
2,2021-03-23 02:00:00+00:00,399.79
3,2021-03-23 03:00:00+00:00,400.4
4,2021-03-23 04:00:00+00:00,401.82
5,2021-03-23 05:00:00+00:00,410.75
6,2021-03-23 06:00:00+00:00,427.7
7,2021-03-23 07:00:00+00:00,530.72
8,2021-03-23 08:00:00+00:00,748.03
9,2021-03-23 09:00:00+00:00,455.11
10,2021-03-23 10:00:00+00:00,441.41
11,2021-03-23 11:00:00+00:00,427.3
12,2021-03-23 12:00:00+00:00,422.93
13,2021-03-23 13:00:00+00:00,417.96
14,2021-03-23 14:00:00+00:00,414.61
15,2021-03-23 15:00:00+00:00,413.9
16,2021-03-23 16:00:00+00:00,411.26
17,2021-03-23 17:00:00+00:00,415.02
18,2021-03-23 18:00:00+00:00,422.73
19,2021-03-23 19:00:00+00:00,409.94
20,2021-03-23 20:00:00+00:00,405.27
21,2021-03-23 21:00:00+00:00,410.04
22,2021-03-23 22:00:00+00:00,404.97
23,2021-03-23 23:00:00+00:00,398.17
0,2021-03-24 00:00:00+00:00,399.12
1,2021-03-24 01:00:00+00:00,389.03
2,2021-03-24 02:00:00+00:00,385.16
3,2021-03-24 03:00:00+00:00,384.45
4,2021-03-24 04:00:00+00:00,385.37
5,2021-03-24 05:00:00+00:00,398.2
6,2021-03-24 06:00:00+00:00,402.99
7,2021-03-24 07:00:00+00:00,409.41
8,2021-03-24 08:00:00+00:00,419.39
9,2021-03-24 09:00:00+00:00,410.73
10,2021-03-24 10:00:00+00:00,402.99
11,2021-03-24 11:00:00+00:00,405.33
12,2021-03-24 12:00:00+00:00,405.54
13,2021-03-24 13:00:00+00:00,402.68
14,2021-03-24 14:00:00+00:00,401.87
15,2021-03-24 15:00:00+00:00,401.56
16,2021-03-24 16:00:00+00:00,402.17
17,2021-03-24 17:00:00+00:00,406.05
18,2021-03-24 18:00:00+00:00,418.68
19,2021-03-24 19:00:00+00:00,406.35
20,2021-03-24 20:00:00+00:00,403.5
21,2021-03-24 21:00:00+00:00,405.64
22,2021-03-24 22:00:00+00:00,404.72
23,2021-03-24 23:00:00+00:00,400.24
0,2021-03-25 00:00:00+00:00,399.0
1,2021-03-25 01:00:00+00:00,396.97
2,2021-03-25 02:00:00+00:00,396.05
3,2021-03-25 03:00:00+00:00,395.95
4,2021-03-25 04:00:00+00:00,397.07
5,2021-03-25 05:00:00+00:00,400.82
6,2021-03-25 06:00:00+00:00,406.61
7,2021-03-25 07:00:00+00:00,429.95
8,2021-03-25 08:00:00+00:00,442.54
9,2021-03-25 09:00:00+00:00,432.19
10,2021-03-25 10:00:00+00:00,437.47
11,2021-03-25 11:00:00+00:00,415.03
12,2021-03-25 12:00:00+00:00,406.81
13,2021-03-25 13:00:00+00:00,404.17
14,2021-03-25 14:00:00+00:00,399.81
15,2021-03-25 15:00:00+00:00,404.68
16,2021-03-25 16:00:00+00:00,404.58
17,2021-03-25 17:00:00+00:00,413.71
18,2021-03-25 18:00:00+00:00,419.7
19,2021-03-25 19:00:00+00:00,416.96
20,2021-03-25 20:00:00+00:00,403.46
21,2021-03-25 21:00:00+00:00,404.99
22,2021-03-25 22:00:00+00:00,402.24
23,2021-03-25 23:00:00+00:00,398.29
0,2021-03-26 00:00:00+00:00,399.73
1,2021-03-26 01:00:00+00:00,396.99
2,2021-03-26 02:00:00+00:00,394.14
3,2021-03-26 03:00:00+00:00,393.94
4,2021-03-26 04:00:00+00:00,396.58
5,2021-03-26 05:00:00+00:00,398.0
6,2021-03-26 06:00:00+00:00,405.73
7,2021-03-26 07:00:00+00:00,421.79
8,2021-03-26 08:00:00+00:00,423.51
9,2021-03-26 09:00:00+00:00,405.12
10,2021-03-26 10:00:00+00:00,402.37
11,2021-03-26 11:00:00+00:00,382.66
12,2021-03-26 12:00:00+00:00,366.8
13,2021-03-26 13:00:00+00:00,363.55
14,2021-03-26 14:00:00+00:00,367.92
15,2021-03-26 15:00:00+00:00,382.55
16,2021-03-26 16:00:00+00:00,392.82
